2019/8/17,J1,oita,0,1,kashima,0
2019/8/18,J1,matsumoto,1,1,nagoya,0.5
2019/8/18,J1,gosaka,1,1,iwata,0.5
2019/8/23,J1,kashima,2,2,gosaka,0.5
2019/8/23,J1,urawa,1,2,matsumoto,0
2019/8/23,J1,tosu,1,6,kobe,0
2019/8/24,J1,sapporo,1,1,fctokyo,0.5
2019/8/24,J1,nagoya,1,5,yokohamafm,0
2019/8/24,J1,sendai,1,1,shonan,0.5
2019/8/24,J1,kawasakif,2,2,shimizu,0.5
2019/8/24,J1,iwata,0,2,cosaka,0
2019/8/24,J1,hiroshima,0,0,oita,0.5
2019/8/30,J1,nagoya,1,2,fctokyo,0
2019/8/31,J1,yokohamafm,3,1,gosaka,1
2019/8/31,J1,matsumoto,0,0,oita,0.5
2019/8/31,J1,iwata,0,2,hiroshima,0
2019/8/31,J1,kobe,2,3,sapporo,0
2019/8/31,J1,tosu,2,1,sendai,1
2019/9/1,J1,shimizu,0,4,kashima,0
2019/9/1,J1,cosaka,2,1,kawasakif,1
2019/9/1,J1,shonan,1,1,urawa,0.5
2019/9/13,J1,urawa,1,2,cosaka,0
2019/9/13,J1,shimizu,3,2,nagoya,1
2019/9/14,J1,sapporo,1,3,sendai,0
2019/9/14,J1,oita,2,1,shonan,1
2019/9/14,J1,kashima,2,0,fctokyo,1
2019/9/14,J1,kawasakif,2,0,iwata,1
2019/9/14,J1,yokohamafm,3,0,hiroshima,1
2019/9/14,J1,gosaka,1,0,tosu,1
2019/9/14,J1,kobe,2,1,matsumoto,1
2019/9/28,J1,cosaka,3,1,gosaka,1
2019/9/28,J1,tosu,3,3,urawa,0.5
2019/9/28,J1,kashima,1,1,sapporo,0.5
2019/9/28,J1,kawasakif,1,2,kobe,0
2019/9/28,J1,oita,1,2,iwata,0
2019/9/28,J1,sendai,1,1,yokohamafm,0.5
2019/9/28,J1,hiroshima,1,1,nagoya,0.5
2019/9/29,J1,matsumoto,0,0,fctokyo,0.5
2019/9/29,J1,shonan,0,6,shimizu,0
2019/10/4,J1,gosaka,5,0,sapporo,1
2019/10/5,J1,sendai,0,1,matsumoto,0
2019/10/5,J1,iwata,0,2,yokohamafm,0
2019/10/5,J1,nagoya,1,1,oita,0.5
2019/10/5,J1,tosu,2,1,fctokyo,1
2019/10/5,J1,hiroshima,6,2,kobe,1
2019/10/6,J1,cosaka,0,1,kashima,0
2019/10/6,J1,urawa,2,1,shimizu,1
2019/10/6,J1,shonan,0,5,kawasakif,0
2019/10/18,J1,sapporo,0,1,cosaka,0
2019/10/18,J1,matsumoto,1,1,kashima,0.5
2019/10/18,J1,urawa,0,1,oita,0
2019/10/19,J1,kobe,1,3,fctokyo,0
2019/10/19,J1,yokohamafm,3,1,shonan,1
2019/10/19,J1,shimizu,1,2,hiroshima,0
2019/10/19,J1,nagoya,0,2,sendai,0
2019/10/19,J1,gosaka,2,2,kawasakif,0.5
2019/10/19,J1,iwata,2,2,tosu,0.5
2019/10/29,J1,hiroshima,1,1,urawa,0.5
2019/11/1,J1,kashima,1,0,urawa,1
2019/11/2,J1,kobe,2,0,sendai,1
2019/11/2,J1,sapporo,3,0,nagoya,1
2019/11/2,J1,shimizu,1,2,iwata,0
2019/11/2,J1,tosu,1,2,yokohamafm,0
2019/11/2,J1,cosaka,1,1,matsumoto,0.5
2019/11/2,J1,kawasakif,2,1,hiroshima,1
2019/11/2,J1,oita,0,2,fctokyo,0
2019/11/3,J1,shonan,0,3,gosaka,0
2019/11/5,J1,urawa,0,2,kawasakif,0
2019/11/9,J1,kashima,0,2,kawasakif,0
